OUVRIR CHROME, ouvrir_chrome
LANCER CHROME, ouvrir_chrome
ALLER INTERNET, ouvrir_chrome
LANCER NAVIGATEUR, ouvrir_chrome
OUVRIR NAVIGATEUR, ouvrir_chrome
OUVRIR WEB, ouvrir_chrome
LANCER INTERNET, ouvrir_chrome
JOUER MUSIQUE, play_song
LANCER MUSIQUE, play_song
LANCER MUSIQUE PREFEREE, play_song
JOUER MUSIQUE, play_song
LANCER CHANSON, play_song
JOUER MORCEAU, play_song
LANCER MORCEAU, play_song
METTRE SON, play_song
ECOUTER CHANSON, play_song
METTRE MORCEAU, play_song
JOUER ARTISTE, play_song
JOUE MUSIQUE, play_song
JOUER MUSIQUE, play_song
JOUER SON, play_song
JOUER MORCEAU, play_song
JOUE SON, play_song
JOUER CHANSON, play_song
ECOUTER MUSIQUE, play_song
LANCER PLAYLIST, play_song
DONNER HEURE, play_song
ENVOYER MAIL, envoyer_mail
ENVOYER MESSAGE, envoyer_mail
ECRIRE MAIL, envoyer_mail
ECRIRE MESSAGE, envoyer_mail
CONTACTER MAIL, envoyer_mail
MAIL, envoyer_mail
REDIGER MESSAGE, envoyer_mail
REDIGER MAIL, envoyer_mail
